date,symbol,net_gex,net_dex,skew_0dte
2025-07-01,SPX,811140000.0,1760000000000.0,12.1
2025-07-02,SPX,840250000.0,1970000000000.0,22.4
2025-07-07,SPX,631790000.0,1820000000000.0,57.9
2025-07-08,SPX,629900000.0,1970000000000.0,14.8
2025-07-09,SPX,908750000.0,1970000000000.0,29.9
2025-07-10,SPX,1020000000.0,2049999999999.9998,20.1
2025-07-11,SPX,713130000.0,1900000000000.0,47.6
2025-07-14,SPX,713060000.0,1940000000000.0,29.7
2025-07-15,SPX,513220000.0,1830000000000.0,56.1
2025-07-16,SPX,657810000.0,1910000000000.0,51.3
2025-07-17,SPX,1060000000.0,2100000000000.0,3.9
2025-07-18,SPX,584590000.0,1930000000000.0,41.3
2025-07-21,SPX,672660000.0,1890000000000.0,7.2
2025-07-22,SPX,596290000.0,1850000000000.0,18.8
2025-07-23,SPX,1030000000.0,2089999999999.9998,15.7
2025-07-24,SPX,1070000000.0000001,2100000000000.0,-3.3
2025-07-25,SPX,1010000000.0,2180000000000.0002,11.2
2025-07-28,SPX,923460000.0,2180000000000.0002,3.1
2025-07-29,SPX,639170000.0,2040000000000.0,25.7
2025-07-30,SPX,467890000.0,2080000000000.0,-38.6
2025-07-31,SPX,247530000.0,1850000000000.0,26.9
