cc,variant,signals,folds,oos_trades,net,prom,pct_green,wfe,mar95
CC1,base,133,0,0,,,,,
CC1,chop,97,0,0,,,,,
CC2,base,924,6,505,88377.75,-0.14128612286625195,83.33333333333334,313.19637775647874,2.0872557957186313
CC2,chop,670,4,309,67539.25,0.1020803478020173,100.0,118.6760316668416,1.9737202109484389
CC3,base,1653,10,1084,34319.0,-0.828682891355189,70.0,41.363604013949185,0.3837366720440192
CC3,chop,1254,8,762,42788.5,-0.6983137262762049,62.5,3.948618079605522,0.6988080935723611
CC4,base,1680,11,1206,45295.25,-0.851623265905646,54.54545454545454,78.5263426650465,0.48689406807046787
CC4,chop,1382,9,890,102719.0,-0.20898498369881766,77.77777777777779,107.50774409568658,1.9484514620404403
CC5,base,1190,8,752,89551.25,0.3604707777097365,62.5,18.06152041138927,1.70947859721629
CC5,chop,1132,8,743,75473.5,0.7262442803106984,62.5,5.932464551273176,1.4257964239616014
