M,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021-06,8.0,62.5,0.781,0.763,3.3,2.0,6.2,2475.0,1.5,-0.42,-1.0
2021-07,17.0,41.2,-0.016,0.376,0.94,-0.09,-0.3,-225.0,0.67,-0.5,-1.9
2021-08,24.0,58.3,0.285,0.364,2.15,1.53,6.8,4750.0,0.9,-0.57,-2.0
2021-09,25.0,64.0,0.241,0.284,2.09,1.66,6.0,5575.0,0.71,-0.59,-2.5
2021-10,16.0,37.5,-0.382,0.358,0.61,-2.09,-6.1,-2225.0,0.47,-0.89,-7.2
2021-11,16.0,56.2,0.159,0.322,2.59,0.97,2.5,2550.0,0.57,-0.37,-1.3
2021-12,20.0,55.0,0.258,0.469,2.46,1.08,5.2,6562.0,1.02,-0.67,-3.0
2022-01,19.0,73.7,0.474,0.401,6.19,2.31,9.0,20762.0,0.86,-0.61,-1.0
2022-02,25.0,60.0,0.247,0.402,2.23,1.21,6.2,15712.0,0.94,-0.79,-2.8
2022-03,16.0,81.2,0.352,0.413,4.15,1.67,5.6,8988.0,0.65,-0.93,-2.0
2022-04,31.0,54.8,0.158,0.337,1.68,0.92,4.9,9050.0,0.86,-0.69,-2.2
2022-05,21.0,52.4,0.27,0.419,1.96,1.27,5.7,11062.0,1.03,-0.56,-3.0
2022-06,27.0,63.0,0.124,0.262,1.64,0.93,3.3,5238.0,0.52,-0.54,-1.9
2022-07,14.0,85.7,0.482,0.441,4.55,2.14,6.7,7900.0,0.73,-1.0,-1.0
2022-08,27.0,70.4,0.331,0.323,4.17,2.01,8.9,13112.0,0.73,-0.63,-1.9
2022-09,18.0,61.1,0.257,0.455,2.55,1.11,4.6,8462.0,0.83,-0.64,-2.8
2022-10,24.0,54.2,0.027,0.272,1.18,0.2,0.7,1375.0,0.52,-0.56,-3.6
2022-11,17.0,76.5,0.291,0.371,3.06,1.54,5.0,6025.0,0.59,-0.7,-1.3
2022-12,16.0,68.8,0.535,0.428,5.14,2.45,8.6,8325.0,0.95,-0.37,-1.0
2023-01,14.0,64.3,0.483,0.45,3.31,2.11,6.8,5750.0,0.93,-0.32,-0.5
2023-02,18.0,61.1,0.218,0.387,2.16,1.11,3.9,5038.0,0.68,-0.51,-1.0
2023-03,24.0,66.7,0.338,0.309,4.7,2.14,8.1,14062.0,0.73,-0.45,-1.1
2023-04,17.0,58.8,0.034,0.419,1.28,0.16,0.6,1388.0,0.62,-0.81,-3.9
2023-05,14.0,64.3,0.236,0.39,3.59,1.19,3.3,3562.0,0.65,-0.5,-1.0
2023-06,19.0,52.6,0.117,0.405,1.56,0.56,2.2,2162.0,0.78,-0.62,-2.6
2023-07,22.0,54.5,-0.045,0.37,0.92,-0.24,-1.0,-350.0,0.62,-0.84,-3.7
2023-08,32.0,71.9,0.197,0.237,1.97,1.63,6.3,4988.0,0.51,-0.61,-2.7
2023-09,26.0,57.7,0.405,0.396,2.52,2.0,10.5,7275.0,1.11,-0.56,-2.0
2023-10,16.0,62.5,0.016,0.347,1.31,0.09,0.3,1438.0,0.45,-0.71,-2.4
2023-11,19.0,84.2,0.506,0.37,6.47,2.68,9.6,7450.0,0.74,-0.73,-1.0
2023-12,19.0,73.7,0.274,0.335,2.14,1.61,5.2,3375.0,0.59,-0.62,-1.5
2024-01,26.0,57.7,0.267,0.39,2.01,1.34,6.9,4988.0,0.92,-0.63,-2.2
2024-02,21.0,61.9,0.51,0.539,2.1,1.85,10.7,6338.0,1.39,-0.92,-1.7
2024-03,22.0,63.6,0.305,0.386,2.74,1.55,6.7,7125.0,0.89,-0.71,-2.0
2024-04,32.0,59.4,0.203,0.312,2.15,1.28,6.5,8338.0,0.75,-0.59,-3.0
2024-05,17.0,47.1,0.178,0.512,1.86,0.68,3.0,3625.0,1.08,-0.63,-3.0
2024-06,22.0,50.0,0.021,0.329,0.95,0.13,0.5,-362.0,0.68,-0.63,-1.8
2024-07,25.0,60.0,0.273,0.328,2.81,1.63,6.8,10188.0,0.81,-0.54,-2.3
2024-08,20.0,55.0,0.223,0.383,2.51,1.14,4.5,9438.0,0.8,-0.49,-2.0
2024-09,17.0,47.1,0.13,0.3,2.51,0.85,2.2,5212.0,0.66,-0.34,-1.0
2024-10,9.0,55.6,0.072,0.613,1.51,0.23,0.6,1262.0,0.7,-0.71,-2.7
2024-11,22.0,54.5,0.119,0.308,1.42,0.76,2.6,2788.0,0.63,-0.5,-3.1
2024-12,25.0,56.0,0.016,0.316,1.21,0.1,0.4,1438.0,0.58,-0.7,-3.4
2025-01,21.0,71.4,0.448,0.411,2.39,2.13,9.4,11975.0,0.96,-0.83,-1.7
2025-02,15.0,86.7,0.609,0.307,27.62,3.89,9.1,11312.0,0.75,-0.29,-0.5
2025-03,26.0,53.8,0.122,0.287,1.74,0.83,3.2,7262.0,0.65,-0.5,-2.9
2025-04,26.0,65.4,0.155,0.365,2.12,0.83,4.0,18962.0,0.69,-0.85,-2.7
2025-05,15.0,53.3,0.226,0.491,1.31,0.9,3.4,1738.0,0.93,-0.58,-1.5
2025-06,10.0,90.0,0.549,0.388,33.64,2.77,5.5,5712.0,0.64,-0.25,-0.2
2025-07,23.0,60.9,0.085,0.308,1.2,0.54,2.0,875.0,0.57,-0.67,-1.3
2025-08,20.0,65.0,0.26,0.397,1.99,1.28,5.2,4050.0,0.77,-0.68,-2.0
2025-09,22.0,50.0,0.091,0.261,1.74,0.68,2.0,2588.0,0.58,-0.4,-2.6
2025-10,16.0,56.2,0.251,0.445,2.59,1.1,4.0,7175.0,0.84,-0.51,-2.2
2025-11,22.0,77.3,0.362,0.32,2.35,2.21,8.0,9038.0,0.66,-0.66,-2.2
2025-12,21.0,66.7,0.36,0.278,6.11,2.54,7.6,10612.0,0.69,-0.3,-0.7
2026-01,15.0,60.0,0.06,0.313,1.4,0.38,0.9,1675.0,0.48,-0.57,-1.4
2026-02,16.0,62.5,0.259,0.384,1.66,1.32,4.1,4200.0,0.72,-0.5,-1.0
2026-03,22.0,54.5,-0.061,0.339,0.97,-0.35,-1.3,-400.0,0.5,-0.74,-5.2
2026-04,8.0,87.5,0.318,0.556,4.86,1.12,2.5,3812.0,0.51,-1.0,-1.0
2026-05,8.0,37.5,0.0,0.519,1.45,0.0,0.0,1000.0,0.73,-0.44,-1.9
2026-06,11.0,63.6,0.065,0.407,2.41,0.31,0.7,5288.0,0.5,-0.69,-1.0
