Q,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021Q2,8.0,62.5,0.781,0.763,3.3,2.0,6.2,2475.0,1.5,-0.42,-1.0
2021Q3,66.0,56.1,0.191,0.196,1.78,1.91,12.6,10100.0,0.77,-0.55,-2.5
2021Q4,52.0,50.0,0.031,0.241,1.58,0.25,1.6,6888.0,0.73,-0.67,-7.2
2022Q1,60.0,70.0,0.347,0.235,3.32,2.9,20.8,45462.0,0.82,-0.76,-2.8
2022Q2,79.0,57.0,0.176,0.192,1.77,1.79,13.9,25350.0,0.77,-0.61,-3.0
2022Q3,59.0,71.2,0.344,0.225,3.49,3.0,20.3,29475.0,0.76,-0.67,-2.8
2022Q4,57.0,64.9,0.248,0.203,2.25,2.4,14.2,15725.0,0.67,-0.54,-3.6
2023Q1,56.0,64.3,0.336,0.211,3.34,3.12,18.8,24850.0,0.77,-0.44,-1.1
2023Q2,50.0,58.0,0.122,0.233,1.7,1.03,6.1,7112.0,0.68,-0.66,-3.9
2023Q3,80.0,62.5,0.198,0.191,1.83,2.03,15.8,11912.0,0.72,-0.67,-3.7
2023Q4,54.0,74.1,0.279,0.207,2.36,2.65,15.1,12262.0,0.62,-0.68,-2.4
2024Q1,69.0,60.9,0.353,0.25,2.25,2.77,24.3,18450.0,1.05,-0.74,-2.2
2024Q2,71.0,53.5,0.141,0.21,1.64,1.31,10.0,11600.0,0.8,-0.62,-3.0
2024Q3,62.0,54.8,0.218,0.196,2.62,2.17,13.5,24838.0,0.77,-0.46,-2.4
2024Q4,56.0,55.4,0.066,0.207,1.34,0.62,3.7,5488.0,0.62,-0.62,-3.4
2025Q1,62.0,67.7,0.35,0.202,2.62,3.4,21.7,30550.0,0.79,-0.58,-2.9
2025Q2,51.0,66.7,0.253,0.247,2.16,2.01,12.9,26412.0,0.73,-0.7,-2.7
2025Q3,65.0,58.5,0.141,0.184,1.63,1.5,9.2,7512.0,0.64,-0.56,-2.6
2025Q4,59.0,67.8,0.331,0.193,3.02,3.35,19.5,26825.0,0.71,-0.47,-2.2
2026Q1,53.0,58.5,0.07,0.202,1.23,0.68,3.7,5475.0,0.56,-0.63,-5.2
2026Q2,27.0,63.0,0.121,0.273,2.46,0.87,3.3,10100.0,0.54,-0.59,-3.6
