strike,call_oi,put_oi,call_gex,put_gex,tot_gamma
6950.0,13230,32905,21.19,-35.73,10.009131
6975.0,5985,19426,8.65,-10.15,3.305757
7000.0,348227,715425,423.04,-642.49,187.39128
7025.0,8353,13529,10.73,-13.69,4.293993
7050.0,15335,26926,15.44,-38.94,9.563903
7075.0,4735,14691,8.42,-21.3,5.226502
7100.0,25325,69401,53.97,-128.29,32.054276
7125.0,5338,21824,10.82,-27.91,6.811465
7150.0,15360,52099,37.6,-107.1,25.448051
7175.0,5500,35993,13.41,-55.39,12.099071
7200.0,57917,101160,92.02,-244.61,59.203967
7225.0,5605,25806,15.06,-49.04,11.272238
7250.0,23431,45907,69.23,-109.37,31.409078
7275.0,5469,26808,17.2,-60.9,13.735422
7300.0,64748,105606,223.73,-355.24,101.822163
7325.0,8350,17014,30.83,-51.77,14.526105
7350.0,37505,51308,143.98,-217.54,63.579718
7375.0,16065,23711,75.86,-97.19,30.432985
7400.0,85393,108152,406.26,-537.33,165.947307
7425.0,15595,22436,90.13,-133.94,39.407513
7450.0,98764,98692,647.87,-629.81,224.702902
7475.0,22210,25075,197.4,-254.2,79.421824
7500.0,180382,158043,1496.91,-1300.07,491.897639
7525.0,22371,18356,396.99,-313.25,124.908317
7550.0,97161,78340,1838.85,-1013.11,501.567207
7575.0,34464,16480,769.06,-148.95,161.448718
7600.0,135322,92888,1424.89,-927.74,413.750412
7625.0,43995,5306,281.07,-32.99,55.233531
7650.0,44966,11085,352.51,-68.74,74.084849
7675.0,20513,3991,128.78,-14.93,25.274878
7700.0,103777,18315,411.57,-79.26,86.321972
7725.0,12793,1373,46.48,-2.7,8.649462
7750.0,31139,2121,84.37,-6.91,16.0522
7775.0,15824,688,20.09,-2.19,3.91821
7800.0,55128,10696,206.17,-39.29,43.16823
7825.0,10860,162,32.45,-0.56,5.806222
7850.0,25977,3151,73.25,-9.89,14.621349
7875.0,11316,180,29.33,-0.36,5.221207
7900.0,60405,2661,174.04,-7.55,31.935621
